0.0,0.0206473,0.0823301
0.1,0.0304669,0.115588
0.2,0.0440973,0.158814
0.3,0.0626132,0.213533
0.4,0.0872277,0.280945
0.5,0.119248,0.361695
0.6,0.160008,0.455638
0.7,0.210778,0.561636
0.8,0.272663,0.677427
0.9,0.346478,0.7996
1.0,0.432648,0.923719
1.1,0.531114,1.04459
1.2,0.641273,1.15667
1.3,0.761975,1.25458
1.4,0.891559,1.33363
1.5,1.02795,1.39029
1.6,1.1688,1.42257
1.7,1.31164,1.43018
1.8,1.45406,1.4144
1.9,1.59383,1.37784
2.0,1.72905,1.32393
2.1,1.85816,1.25632
2.2,1.97997,1.17835
2.3,2.09357,1.09254
2.4,2.19826,1.00026
2.5,2.29341,0.90167
2.6,2.37835,0.795849
2.7,2.45228,0.681094
2.8,2.51421,0.55538
2.9,2.56293,0.416873
3.0,2.59712,0.264434
3.1,2.61535,0.0980607
3.2,2.61631,-0.0807817
3.3,2.59888,-0.26896
3.4,2.56237,-0.46163
3.5,2.50662,-0.65236
3.6,2.43222,-0.833427
3.7,2.34054,-0.996284
3.8,2.23386,-1.13219
3.9,2.11528,-1.23297
4.0,1.98866,-1.29185
4.1,1.85846,-1.3043
4.2,1.72941,-1.26875
4.3,1.60625,-1.1871
4.4,1.49334,-1.06495
4.5,1.39431,-0.911375
4.6,1.31172,-0.738353
4.7,1.24683,-0.559759
4.8,1.19947,-0.390073
4.9,1.16806,-0.242909
5.0,1.14976,-0.129549
5.1,1.14976,-0.129549
5.2,1.14076,-0.0576692
5.3,1.13673,-0.030401
5.4,1.13325,-0.0458813
5.5,1.12635,-0.0973285
5.6,1.11295,-0.173646
5.7,1.09127,-0.260469
5.8,1.06105,-0.341529
5.9,1.02371,-0.400159
6.0,0.982287,-0.420804
6.1,0.941257,-0.390362
6.2,0.90624,-0.299291
6.3,0.883598,-0.142408
6.4,0.879969,0.0806154
6.5,0.901773,0.365049
6.6,0.954707,0.701171
6.7,1.04326,1.07459
6.8,1.17026,1.46684
6.9,1.33653,1.85623
7.0,1.54062,2.21904
7.1,1.77864,2.531
7.2,2.04435,2.76902
7.3,2.32931,2.9131
7.4,2.62333,2.94816
7.5,2.91501,2.86568
7.6,3.19251,2.66482
7.7,3.44426,2.35284
7.8,3.65987,1.94478
7.9,3.83073,1.46218
8.0,3.95069,0.931211
8.1,4.01631,0.38021
8.2,4.02699,-0.162919
8.3,3.98482,-0.673155
8.4,3.89414,-1.13034
8.5,3.761,-1.52041
8.6,3.59255,-1.83586
8.7,3.39637,-2.07529
8.8,3.17991,-2.24242
8.9,2.95006,-2.34452
9.0,2.71286,-2.39088
9.1,2.47341,-2.39122
9.2,2.00349,-2.28835
9.3,1.77897,-2.19855
9.4,1.56442,-2.08939
9.5,1.36163,-1.96403
9.6,1.17207,-1.82505
9.7,0.996988,-1.67494
9.8,0.837359,-1.51651
9.9,0.693855,-1.35304
10.0,0.566796,-1.18826
