0.0206473,0.0823301
0.0304669,0.115588
0.0440973,0.158814
0.0626132,0.213533
0.0872277,0.280945
0.119248,0.361695
0.160008,0.455638
0.210778,0.561636
0.272663,0.677427
0.346478,0.7996
0.432648,0.923719
0.531114,1.04459
0.641273,1.15667
0.761975,1.25458
0.891559,1.33363
1.02795,1.39029
1.1688,1.42257
1.31164,1.43018
1.45406,1.4144
1.59383,1.37784
1.72905,1.32393
1.85816,1.25632
1.97997,1.17835
2.09357,1.09254
2.19826,1.00026
2.29341,0.90167
2.37835,0.795849
2.45228,0.681094
2.51421,0.55538
2.56293,0.416873
2.59712,0.264434
2.61535,0.0980607
2.61631,-0.0807817
2.59888,-0.26896
2.56237,-0.46163
2.50662,-0.65236
2.43222,-0.833427
2.34054,-0.996284
2.23386,-1.13219
2.11528,-1.23297
1.98866,-1.29185
1.85846,-1.3043
1.72941,-1.26875
1.60625,-1.1871
1.49334,-1.06495
1.39431,-0.911375
1.31172,-0.738353
1.24683,-0.559759
1.19947,-0.390073
1.16806,-0.242909
1.14976,-0.129549
1.14976,-0.129549
1.14076,-0.0576692
1.13673,-0.030401
1.13325,-0.0458813
1.12635,-0.0973285
1.11295,-0.173646
1.09127,-0.260469
1.06105,-0.341529
1.02371,-0.400159
0.982287,-0.420804
0.941257,-0.390362
0.90624,-0.299291
0.883598,-0.142408
0.879969,0.0806154
0.901773,0.365049
0.954707,0.701171
1.04326,1.07459
1.17026,1.46684
1.33653,1.85623
1.54062,2.21904
1.77864,2.531
2.04435,2.76902
2.32931,2.9131
2.62333,2.94816
2.91501,2.86568
3.19251,2.66482
3.44426,2.35284
3.65987,1.94478
3.83073,1.46218
3.95069,0.931211
4.01631,0.38021
4.02699,-0.162919
3.98482,-0.673155
3.89414,-1.13034
3.761,-1.52041
3.59255,-1.83586
3.39637,-2.07529
3.17991,-2.24242
2.95006,-2.34452
2.71286,-2.39088
2.47341,-2.39122
2.00349,-2.28835
1.77897,-2.19855
1.56442,-2.08939
1.36163,-1.96403
1.17207,-1.82505
0.996988,-1.67494
0.837359,-1.51651
0.693855,-1.35304
0.566796,-1.18826
